epoch,accuracy,loss,val_accuracy,val_loss
0,0.93299824,0.2087106854377694,0.9317191243171692,0.2072112252273336
1,0.9337305,0.20285762848342231,0.9308120608329773,0.20406827489403856
2,0.9340035,0.20181205187715937,0.9314923286437988,0.20679729186418377
3,0.93459916,0.1967817084338136,0.9319458603858948,0.19850256578338946
4,0.93451226,0.19577684968415918,0.9322230219841003,0.19847672584098064
5,0.9345495,0.19509773124836904,0.9321726560592651,0.19812998257374864
6,0.9344254,0.19493215600965735,0.9321474432945251,0.19817012307765625
7,0.93457437,0.194846144372301,0.9322230219841003,0.19813037083818547
8,0.9345495,0.19482191423632408,0.9321978092193604,0.19812741938479744
9,0.9345495,0.1948196758204305,0.9321978092193604,0.19812709139668214
