epoch,accuracy,loss,val_accuracy,val_loss
0,0.49,1.053672480583191,0.7599999904632568,0.8821606755256652
1,0.76,0.8122976422309875,0.7799999713897705,0.6642654299736023
2,0.81,0.6001425623893738,0.8399999737739563,0.44567654132843015
3,0.87,0.4125864505767822,0.8600000143051147,0.3017748475074768
4,0.88,0.2997243404388428,0.8600000143051147,0.22238619923591613
5,0.88,0.2403744339942932,0.8999999761581421,0.1875752866268158
6,0.94,0.21620309352874756,0.9399999976158142,0.13248634338378906
7,0.92,0.1881744608283043,0.9800000190734863,0.10126813352108002
8,0.93,0.1856469079852104,0.9800000190734863,0.07741457223892212
9,0.93,0.20218839943408967,0.8999999761581421,0.15245602279901505
10,0.93,0.1240636169910431,0.9800000190734863,0.06567016914486885
11,0.95,0.14899150878190995,0.9800000190734863,0.052637706696987155
12,0.94,0.09708122313022613,1.0,0.05727560855448246
13,0.96,0.11015734486281872,1.0,0.04206538125872612
14,0.95,0.11196943074464798,0.9399999976158142,0.13487009555101395
15,0.98,0.06617084592580795,1.0,0.03219158351421356
16,0.96,0.0819846959784627,1.0,0.030962940491735935
17,0.96,0.07894162312150002,0.9800000190734863,0.058278243988752365
18,0.96,0.06081290803849697,0.9800000190734863,0.039342942833900454
19,0.98,0.052211834769696,0.9800000190734863,0.04286900013685226
20,0.99,0.04758980935439468,0.9800000190734863,0.07069647535681725
21,0.98,0.042774465028196575,0.9800000190734863,0.04022083058953285
22,0.97,0.05152300037443638,0.9800000190734863,0.04723888486623764
23,0.97,0.057138515263795854,0.9800000190734863,0.04630169197916985
24,0.96,0.09960234062746168,0.9800000190734863,0.0386496813967824
25,0.97,0.05351822413504124,0.9800000190734863,0.07805018499493599
26,0.99,0.04155771154910326,0.9800000190734863,0.06302617117762566
27,0.99,0.03334293086081743,0.9800000190734863,0.07089594379067421
28,1.0,0.03174527548253536,0.9800000190734863,0.07049883864820003
29,0.98,0.03514510872773826,0.9800000190734863,0.08651714697480202
30,0.98,0.044938690355047585,0.9800000190734863,0.06063275448977947
31,0.96,0.08049980085343122,0.9599999785423279,0.06733058504760266
32,0.96,0.06677307516802103,0.9800000190734863,0.05667521059513092
33,0.98,0.042996812611818314,0.9599999785423279,0.10225016102194787
34,0.98,0.04621252790093422,0.9599999785423279,0.09292207881808281
35,0.98,0.02975881826132536,0.9800000190734863,0.06258988305926323
36,0.99,0.026084445137530565,0.9599999785423279,0.12946722321212292
37,1.0,0.02671662559732795,0.9800000190734863,0.07588303834199905
38,1.0,0.017590426688548176,0.9599999785423279,0.098541609197855
39,1.0,0.01424640454351902,0.9800000190734863,0.09886066466569901
40,1.0,0.012191911635454744,0.9800000190734863,0.1031920351088047
41,1.0,0.011285542906261981,0.9800000190734863,0.11103095784783364
42,1.0,0.008774046157486736,0.9800000190734863,0.1079346626996994
43,1.0,0.00837191343307495,0.9800000190734863,0.10767450779676438
44,1.0,0.008331367280334234,0.9800000190734863,0.10808420032262803
45,1.0,0.00814521536231041,0.9800000190734863,0.10900664031505584
46,1.0,0.00794068279210478,0.9800000190734863,0.11007375791668891
47,1.0,0.00806477628648281,0.9800000190734863,0.11290032342076302
48,1.0,0.007780264411121607,0.9800000190734863,0.11159065142273902
49,1.0,0.007556204788852483,0.9800000190734863,0.11105900034308433
50,1.0,0.007487918483093381,0.9800000190734863,0.11079185754060746
51,1.0,0.007331314706243574,0.9800000190734863,0.11129568368196488
52,1.0,0.007307614386081696,0.9800000190734863,0.11094171032309533
53,1.0,0.007198242616141215,0.9800000190734863,0.1122171513736248
54,1.0,0.0070698814815841615,0.9800000190734863,0.11467293575406075
55,1.0,0.006932644778862596,0.9800000190734863,0.11579081267118455
56,1.0,0.0069131973548792304,0.9800000190734863,0.11626618281006813
57,1.0,0.0068298409605631605,0.9800000190734863,0.11733738258481026
58,1.0,0.006760330870747566,0.9800000190734863,0.11579780951142311
59,1.0,0.006571512948721647,0.9800000190734863,0.11579838618636132
60,1.0,0.006442386098206044,0.9800000190734863,0.11597987115383149
61,1.0,0.0064008412999100985,0.9800000190734863,0.11589088886976243
62,1.0,0.006284965900704265,0.9800000190734863,0.11681103780865669
63,1.0,0.0061891261022537945,0.9800000190734863,0.11811475530266762
64,1.0,0.006274335781927221,0.9800000190734863,0.12119001671671867
65,1.0,0.006012237071990967,0.9800000190734863,0.12133990302681923
66,1.0,0.005983152377302759,0.9800000190734863,0.12061534002423287
