epoch,accuracy,loss,val_accuracy,val_loss
0,0.6996001,0.7281466224060149,0.7016686201095581,0.7077272067297155
1,0.720699,0.6827915804685538,0.7196555137634277,0.6807910601066305
2,0.7224002,0.6727552233281586,0.7226159572601318,0.6685842057937162
3,0.7253386,0.6628027098159585,0.7261146306991577,0.6671769328424083
4,0.72849786,0.6564816291737888,0.7267426252365112,0.6612000803600098
5,0.73178977,0.6533555137129533,0.7314972877502441,0.6601629703154187
6,0.73563397,0.6455921848967049,0.7346371412277222,0.6540675113166278
7,0.735413,0.6429421354952766,0.730196475982666,0.6564848817302752
8,0.74411774,0.6148779424386774,0.741544783115387,0.627281550185995
9,0.74729913,0.6052450281014073,0.741365373134613,0.62479304795983
