epoch,accuracy,loss,val_accuracy,val_loss
0,0.4948675,1.0092135305107566,0.539374828338623,0.9740260781547421
1,0.5241108,0.9711682245110407,0.5323479771614075,0.9643080256480353
2,0.542731,0.953262676996899,0.540707528591156,0.9542858699115044
3,0.55842686,0.9382675021751652,0.5821419954299927,0.9265832097125394
4,0.5863571,0.903093421557377,0.6062515377998352,0.9064697170188244
5,0.62777513,0.8484115753190333,0.6693724393844604,0.8001047194740631
6,0.6770709,0.7724599177540273,0.7109280228614807,0.7198404917307966
7,0.7363929,0.6631337071047048,0.7719893455505371,0.5961524435154948
8,0.7818095,0.5813821270389584,0.7986430525779724,0.5488941765146392
9,0.80138457,0.5409839438471483,0.8093045949935913,0.5149947316942072
